"","Total.All.Revenue","Total.Donations","Total.Ticket.Revenue","X2004.Total.Cost","X2005.Total.Cost","X2006.Total.Cost","X2007.Total.Cost","X2008.Total.Cost","X2009.Total.Cost","X2010.Total.Cost","X2011.Total.Cost","X2012.Total.Cost","X2013.Total.Cost","X2014.Total.Cost","X2015.Total.Cost","X2004.Donation","X2005.Donation","X2006.Donation","X2007.Donation","X2008.Donation","X2009.Donation","X2010.Donation","X2011.Donation","X2012.Donation","X2013.Donation","X2014.Donation","X2015.Donation","KmeansClustering_3.cluster"
"141",281,0,281,92,118,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"142",324,0,324,38,0,104,0,0,0,15,0,0,24,0,143,0,0,0,0,0,0,0,0,0,0,0,0,3
"143",1215.5,50,1165.5,120,114,204,72,59,130,93,22,72,68,41.5,170,50,0,0,0,0,0,0,0,0,0,0,0,3
"144",28,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"145",530,200,330,0,0,0,11,0,86,0,35,24,0,174,0,0,0,0,0,0,0,0,0,0,200,0,0,3
"146",115,0,115,0,0,0,0,0,52,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"147",839,500,339,76,70,0,72,0,0,39,0,34,0,0,48,50,50,50,50,50,0,25,25,50,50,50,50,3
"148",654.4,0,654.4,69,104.4,0,0,0,350,41,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"149",98,0,98,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"150",185,0,185,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"152",930,275,655,18,18.5,0,0,128,74,33,118,48,64,70.5,83,0,0,0,0,0,0,0,0,50,75,75,75,3
"155",438,400,38,0,0,0,0,38,0,0,0,0,0,0,0,130,130,140,0,0,0,0,0,0,0,0,0,3
"156",96,0,96,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"157",108,0,108,0,0,0,0,0,37,0,26,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"159",152,0,152,0,0,0,0,0,64,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"160",190,0,190,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"162",2131.01,0,2131.01,0,707.01,560,290,0,0,186,96,0,90,0,202,0,0,0,0,0,0,0,0,0,0,0,0,1
"163",1992,0,1992,374,97,664,557,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"164",198,0,198,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"165",650,0,650,0,0,0,370,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"166",414,0,414,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"167",766.57,0,766.57,117.66,108.91,105,100,110,59,107,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"168",1048,0,1048,0,168,0,570,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"171",3654,0,3654,0,0,504,0,0,550,0,550,550,550,450,500,0,0,0,0,0,0,0,0,0,0,0,0,1
"172",435,0,435,0,0,135,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"173",959,0,959,0,0,216,153,0,0,0,0,180,230,0,180,0,0,0,0,0,0,0,0,0,0,0,0,3
"175",1286,0,1286,600,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"176",3037.5,0,3037.5,1025,150,534.5,580,523,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"178",1826,0,1826,352,140,140,342,330,171,171,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"180",3154,900,2254,171,54,148,224,164,92,188,258,338,193,166,258,0,50,50,100,100,0,100,100,150,100,150,0,1
"181",3940.5,1625,2315.5,200,226,227,168,256,98,0,145,348,176,250,221.5,50,250,100,100,125,150,150,150,200,0,150,200,2
"184",250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,3
"185",3169,1550,1619,66,126,117,77,175,0,88,84,200,272,60,354,50,50,0,100,0,100,250,350,200,250,100,100,2
"186",314,90,224,0,0,0,0,132,92,0,0,0,0,0,0,50,0,0,20,20,0,0,0,0,0,0,0,3
"187",2867,1250,1617,0,0,0,156,310,246,252,231,288,0,134,0,0,0,0,0,250,250,250,250,0,0,0,250,2
"188",1759,450,1309,475,344,490,0,0,0,0,0,0,0,0,0,0,200,250,0,0,0,0,0,0,0,0,0,1
