"","Total.All.Revenue","Total.Donations","Total.Ticket.Revenue","X2004.Total.Cost","X2005.Total.Cost","X2006.Total.Cost","X2007.Total.Cost","X2008.Total.Cost","X2009.Total.Cost","X2010.Total.Cost","X2011.Total.Cost","X2004.Donation","X2005.Donation","X2006.Donation","X2007.Donation","X2008.Donation","X2009.Donation","X2010.Donation","X2011.Donation","X2012.New.Donation","X2013.New.Donation","X2014.New.Donation","X2015.New.Donation","X2012.New.Ticket.Revenue","X2013.New.Ticket.Revenue","X2014.New.Ticket.Revenue","X2015.New.Ticket.Revenue","KmeansClustering_4.cluster"
"187",2867,1250,1617,0,0,0,156,310,246,252,231,0,0,0,0,250,250,250,250,0,0,0,1250,288,0,536,0,1
"188",1759,450,1309,475,344,490,0,0,0,0,0,0,200,250,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"189",8205,4550,3655,76,64,215,396,164,284,90,411,0,0,0,250,0,500,250,300,250,250,9000,2500,422,830,1196,2020,2
"190",336,250,86,0,0,0,0,0,0,0,0,0,50,0,0,50,0,50,0,50,0,200,0,0,0,344,0,3
"191",1184,650,534,150,108,132,144,0,0,0,0,50,50,50,50,50,50,50,50,50,100,400,0,0,0,0,0,3
"192",3601.34,3300,301.34,0,27.67,30.67,50,0,74,63,0,525,525,600,525,525,600,0,0,0,0,0,0,56,0,0,0,1
"193",3183,650,2533,0,0,0,0,89,0,186,106,0,0,0,0,50,50,100,50,100,100,400,500,468,496,2112,3300,2
"194",336,250,86,0,0,0,0,86,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,3
"196",3310.6,325,2985.6,185,160,205,207,234,274,244,333,25,200,15,15,20,25,25,0,0,0,0,0,322,230,1144,1528,1
"198",4043,1453,2590,448,0,457,214,237,334,0,480,233,200,250,100,120,125,100,125,100,0,400,0,420,0,0,0,1
"201",281,50,231,231,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"203",5036,1700,3336,260,522,308,128,68,323,318,262,100,100,100,100,200,200,400,100,100,100,400,500,300,447,784,1020,2
"204",543.9,250,293.9,76,45.4,172.5,0,0,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,0,0,0,0,3
"205",267,175,92,0,0,0,0,0,0,0,0,75,100,0,0,0,0,0,0,0,0,0,0,0,0,0,460,3
"206",1438,115,1323,300,220,186,239,0,288,0,0,100,0,0,15,0,0,0,0,0,0,0,0,0,90,0,0,3
"207",4606,450,4156,311,270,272,280,316,378,409,360,150,150,0,125,0,0,25,0,0,0,0,0,370,370,1504,2220,2
"209",314,200,114,0,32,0,0,82,0,0,0,0,50,75,75,0,0,0,0,0,0,0,0,0,0,0,0,3
"210",1293.67,975,318.67,59.34,55.33,0,0,0,0,0,0,0,100,75,100,0,125,100,75,25,150,400,625,0,0,816,0,1
"211",382,300,82,0,0,0,43,39,0,0,0,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,3
"212",1250,181,1069,184,184,247,256,198,0,0,0,50,100,15,16,0,0,0,0,0,0,0,0,0,0,0,0,3
"213",1204,200,1004,496,60,84,204,0,160,0,0,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,3
"216",98,65,33,0,0,33,0,0,0,0,0,0,0,0,0,20,20,0,0,25,0,0,0,0,0,0,0,3
"219",916,675,241,0,74,0,75,92,0,0,0,0,100,100,100,100,100,50,50,0,0,300,0,0,0,0,0,3
"220",140,50,90,0,90,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"222",3346,600,2746,180,180,222,224,276,196,270,242,50,50,50,50,50,50,50,50,50,50,0,500,192,280,968,1210,1
"223",1066,250,816,0,0,816,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"224",2219,858,1361,175,0,0,0,135,431,86,255,0,50,75,100,100,100,100,108,125,0,0,500,159,0,480,0,1
"225",7210,3550,3660,234,219,170,298,387,376,415,186,0,100,100,100,250,250,250,500,500,500,2000,2500,337,390,1552,1300,2
"227",4546,1275,3271,223,266,210,288,316,236,244,300,0,300,50,250,100,100,100,100,100,50,200,375,300,298,1216,1430,2
"228",815.66,575,240.66,84.66,0,66,0,0,0,90,0,0,50,50,50,50,50,50,50,0,100,300,250,0,0,0,0,3
"229",3415,3250,165,0,0,0,0,165,0,0,0,100,50,100,0,0,1000,500,250,0,1000,1000,0,0,0,0,0,1
"230",2466,1100,1366,240,240,104,342,351,89,0,0,100,100,100,100,100,0,100,100,100,100,400,500,0,0,0,0,1
"231",1225,1125,100,0,0,0,0,0,0,0,100,400,200,0,225,300,0,0,0,0,0,0,0,0,0,0,0,3
"232",4235,810,3425,0,130,72,192,278,442,378,500,0,300,0,0,100,50,150,50,55,55,200,0,328,336,1440,2045,2
"234",332,100,232,76,60,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,3
"235",2671,60,2611,102,209,114,86,107,523,530,409,0,60,0,0,0,0,0,0,0,0,0,0,243,80,832,0,1
"238",4449,1205,3244,158,180,216,224,252,216,289,289,100,100,100,100,100,100,100,100,100,105,400,500,320,340,1384,2070,2
"239",3790,2750,1040,0,800,240,0,0,0,0,0,0,1250,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"240",4989,2500,2489,304,338,272,505,484,586,0,0,500,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,2
"241",136,50,86,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,3
"244",1276,231,1045,196,210,231,224,0,0,0,84,66,50,65,50,0,0,0,0,0,0,0,0,0,100,0,0,3
"245",4793.67,675,4118.67,0,0,0,346.67,292,304,426,468,100,100,0,0,150,100,100,25,100,0,0,0,350,316,2392,5090,2
"247",1593,115,1478,240,300,469,469,0,0,0,0,0,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"249",1238,391,847,388,0,0,62,158,0,70,169,141,0,0,0,50,0,100,100,0,0,0,0,0,0,0,0,3
"250",1396,397,999,0,0,0,156,150,192,199,302,0,50,50,56,66,75,50,50,0,0,0,0,0,0,0,0,3
"252",1329,1200,129,0,0,0,0,0,0,0,0,50,0,50,75,100,100,200,250,100,100,400,375,0,129,0,0,3
"253",3995,915,3080,180,176,199,224,289,272,284,394,0,0,15,100,100,100,100,100,100,100,400,500,354,204,984,1290,1
"255",1158,260,898,180,0,0,122,258,90,45,119,0,0,0,0,50,50,0,50,60,0,200,0,84,0,0,0,3
"257",1928.66,500,1428.66,434.33,102,386.33,72,243,81,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,550,1
"260",1888,320,1568,0,0,60,70,190,219,114,99,0,50,25,25,25,20,0,50,25,25,100,250,266,222,0,1640,1
"262",873,73,800,70,0,0,0,0,0,0,730,0,0,15,58,0,0,0,0,0,0,0,0,0,0,0,0,3
"263",822,150,672,0,0,0,180,0,0,0,231,0,50,0,0,50,0,0,50,0,0,0,0,0,90,0,855,3
"264",4408.33,150,4258.33,496,384,182.33,322,316,328,340,340,50,50,50,0,0,0,0,0,0,0,0,0,348,352,1792,2010,2
"267",204,150,54,0,54,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"268",3873,560,3313,208,208,232,363,320,342,358,500,0,0,0,15,45,75,75,50,75,75,300,375,296,0,964,1225,1
"269",416,250,166,0,0,0,0,0,166,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,3
"270",708,150,558,76,148,0,78,170,0,0,0,0,50,0,0,50,50,0,0,0,0,0,0,0,0,0,430,3
"271",2752,100,2652,208,208,242,290,300,312,328,384,50,0,0,0,50,0,0,0,0,0,0,0,380,0,0,0,1
"272",510,10,500,116,0,0,384,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3
"273",5095.5,1000,4095.5,240,240,262,309,337,353,337,413,50,50,100,100,100,50,50,100,100,100,400,500,440,406,1522,1890,2
"274",1066,150,916,0,0,432,484,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,3
"275",4147,852,3295,160,160,199,207,322,247,244,271,0,0,15,15,70,100,102,100,100,0,1400,0,355,312,1520,2190,2
"276",2802,2450,352,140,0,0,0,212,0,0,0,600,0,200,200,0,600,600,0,0,250,0,0,0,0,0,0,1
"277",3553,200,3353,580,512,0,320,304,349,94,96,0,0,0,100,100,0,0,0,0,0,0,0,372,336,744,1020,1
"278",481,375,106,46,60,0,0,0,0,0,0,0,100,50,50,50,50,0,50,0,0,0,125,0,0,0,0,3
"279",1775,150,1625,0,0,0,280,316,328,385,316,0,0,0,0,100,0,25,25,0,0,0,0,0,0,0,0,3
"282",244.33,50,194.33,70,0,124.33,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"284",2383.5,1600,783.5,27.67,0,60.83,0,172,184,0,329,250,100,50,100,100,100,250,250,250,50,400,0,0,0,40,0,1
"285",2874,265,2609,205,180,196,209,266,337,303,325,20,30,0,65,20,25,25,50,0,30,0,0,310,278,0,0,1
"286",3581.07,465,3116.07,216.67,287.4,251,880,658,212,187,238,0,0,115,200,100,0,0,0,0,0,200,0,0,0,744,0,1
"288",284,100,184,0,0,0,84,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3
"289",438,100,338,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1190,3
"290",1472,376,1096,346,320,430,0,0,0,0,0,126,100,150,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"291",1251,105,1146,200,128,213,219,222,164,0,0,0,0,15,40,50,0,0,0,0,0,0,0,0,0,0,0,3
"292",1460,15,1445,0,0,162,413,0,0,244,300,0,0,0,15,0,0,0,0,0,0,0,0,326,0,0,0,3
"293",252,100,152,0,0,0,0,0,152,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"294",400,210,190,0,0,0,0,0,0,78,0,25,0,0,0,0,0,75,0,0,0,240,250,0,0,0,560,3
"295",3572,900,2672,210,60,570,576,0,0,170,224,0,0,0,200,0,0,0,100,200,200,400,500,330,0,1024,1380,1
"296",718,220,498,0,60,66,216,156,0,0,0,0,0,0,100,120,0,0,0,0,0,0,0,0,0,0,0,3
"297",988.5,725,263.5,0,0,0,88.5,0,0,0,0,50,25,100,50,50,50,50,50,75,25,300,625,0,0,172,660,3
"298",5240,1271,3969,266,271,271,296,300,316,371,384,26,81,115,149,170,175,200,175,100,30,0,250,328,454,1328,1900,2
"299",2069,450,1619,180,180,216,224,252,272,284,11,0,0,0,50,100,100,100,100,0,0,0,0,0,0,0,0,3
"300",248,21,227,0,0,0,146,81,0,0,0,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,3
"302",4080,380,3700,270,270,290,306,276,288,344,368,50,50,50,50,50,25,25,50,0,0,120,0,232,340,1328,1920,2
"303",524,100,424,0,0,0,84,340,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,3
"304",4201,3000,1201,0,0,0,273,0,178,471,0,250,250,250,250,250,250,250,250,250,250,1000,1250,189,90,0,0,2
"307",749,570,179,0,0,10,0,22,48,48,0,60,60,50,50,50,50,50,50,50,50,200,0,9,42,0,0,3
"308",3836.55,100,3736.55,631.67,227.87,326.01,298,370,390,264,311,100,0,0,0,0,0,0,0,0,0,0,0,239,399,1120,0,1
"309",739.6,51,688.6,0,202.6,0,0,0,144,342,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,3
"310",5906,1037,4869,322,342,381,439,342,354,366,372,102,110,115,115,120,125,100,100,0,30,280,250,370,534,1956,2790,2
"311",2734,1050,1684,36.5,96,20.5,59,72,375,221,151,100,225,100,100,0,100,100,50,75,0,500,375,106,244,980,290,1
"312",527,50,477,0,0,63,0,0,204,98,112,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"313",3289,1040,2249,240,288,330,430,0,138,665,112,100,100,100,115,125,100,100,100,0,100,0,500,0,0,184,0,1
"314",2990,132,2858,246,0,99,46,0,424,308,369,0,0,0,15,20,22,25,0,10,10,0,150,335,325,1384,1800,1
"318",573,250,323,91,0,66,0,80,86,0,0,0,0,50,100,0,0,50,0,50,0,0,0,0,0,0,0,3
"320",220,100,120,0,0,0,120,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,3
"321",781.34,100,681.34,0,0,172,114.34,0,0,52,0,0,0,100,0,0,0,0,0,0,0,0,0,0,54,1056,125,3
"322",2920.5,55,2865.5,186,256,585.5,576,218,86,218,140,0,0,15,20,20,0,0,0,0,0,0,0,222,160,872,0,1
"323",1559.74,650,909.74,0,81.38,172.37,99.99,110,120,120,206,0,0,0,200,200,100,100,50,0,0,0,0,0,0,0,0,3
"326",2303,1550,753,0,0,0,136,0,172,0,301,100,100,150,100,100,100,100,0,200,200,800,1000,0,144,0,0,1
"327",314.17,250,64.17,64.17,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"328",665,250,415,0,0,0,0,215,0,0,200,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"329",350,200,150,0,0,0,0,0,0,150,0,0,0,0,0,50,50,0,50,50,0,0,0,0,0,0,0,3
"330",2744,975,1769,0,0,82,0,348,0,524,204,0,100,175,200,100,100,100,100,100,0,0,0,0,0,998,1807.5,1
"331",1128,200,928,0,59,141,0,78,0,190,138,0,200,0,0,0,0,0,0,0,0,0,0,178,0,280,370,3
"332",1668,1500,168,0,0,0,76,0,0,0,0,0,250,250,250,0,250,0,0,0,0,2000,0,0,0,368,0,1
"333",708,600,108,0,108,0,0,0,0,0,0,0,0,0,500,0,100,0,0,0,0,0,0,0,0,0,0,3
"335",5699,4175,1524,192,0,76,174,86,196,306,158,250,250,250,300,350,375,400,400,400,400,1600,2000,166,68,0,510,2
"336",1402,165,1237,70,240,358,344,225,0,0,0,0,0,15,50,100,0,0,0,0,0,0,0,0,0,0,0,3
"337",1430,500,930,0,260,120,66,144,172,168,0,50,50,50,50,0,50,50,100,0,100,0,0,0,0,0,0,3
"338",137,25,112,62,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,200,0,3
"339",3276,673,2603,46,190,199,292,168,180,244,204,0,30,15,100,125,50,50,75,48,50,400,150,252,252,1128,1470,1
"341",1629,91,1538,52,0,103,300,228,192,379,284,0,0,0,15,18,8,25,25,0,0,0,0,0,0,0,0,3
"342",4697,438,4259,213,246,383,382,315,348,321,340,5,38,25,31,50,25,29,50,50,85,200,0,327,376,1632,3000,2
"343",373.67,30,343.67,152,27.67,164,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"344",156,100,56,56,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"345",187.5,50,137.5,72.5,18.5,20.5,0,0,0,26,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"347",512.5,200,312.5,0,0,0,0,76,90,0,0,50,0,100,50,0,0,0,0,0,0,0,0,0,0,116,587.5,3
"348",238,150,88,0,0,88,0,0,0,0,0,50,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,3
"349",3086,625,2461,278,556,355,288,316,328,340,0,250,300,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"350",2212.67,100,2112.67,52,160,360,35.67,276,78,302,310,0,0,0,0,100,0,0,0,0,0,0,0,422,117,0,0,3
"351",1250,145,1105,168.5,54,146.5,66,142,98,90,142,0,0,0,0,35,35,35,40,0,0,0,0,0,105,372,0,3
"353",3020,2670,350,0,200,0,0,0,0,150,0,2250,0,0,0,35,145,0,0,0,100,560,0,0,0,0,0,1
"355",5287,1695,3592,126,0,198,192,274,329,346,424,100,0,100,120,125,150,150,150,100,200,1000,1250,421,430,1384,2530,2
"356",4484.34,101,4383.34,546,459,260.67,278.67,315,342,360,416,21,0,0,0,0,0,25,0,25,0,0,150,351,351,1440,1720,2
"357",259,250,9,9,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"358",2355,244,2111,64,124,178,148,166,170,180,171,0,0,12,20,25,0,25,25,25,25,100,310,74,252,1056,1600,1
"359",1814.8,500,1314.8,0,0,238,57.8,129,269,0,621,0,50,50,50,50,50,0,50,0,100,400,0,0,0,0,0,3
"360",5506,3650,1856,0,100,0,0,0,0,140,111,0,0,0,100,100,0,0,150,1500,1800,0,0,0,246,2408,3285,2
"361",3187.5,155,3032.5,225.6,250.4,271.5,239,274,272,298,284,0,0,15,15,0,25,50,25,25,0,0,0,290,326,408,1000,1
"362",350,100,250,250,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"364",3098,1825,1273,66,0,0,0,39,227,138,91,100,100,200,100,100,100,125,150,150,200,1000,1250,152,100,384,1820,1
"365",3022,600,2422,0,0,0,0,263,345,276,174,0,0,0,100,0,100,100,100,100,0,400,0,244,680,1760,0,1
"368",7913.5,3400,4513.5,280,280,216,333,276,340,390,502,100,200,100,250,500,500,250,250,250,250,1000,2500,508,488,1786,2270,2
"369",4997,1225,3772,208,208,232,240,300,312,316,372,0,0,100,100,0,100,100,100,100,150,700,1500,350,340,1504,2590,2
"370",1621,400,1221,320,108,0,122,192,157,190,0,400,0,0,0,0,0,0,0,0,0,0,0,0,40,368,0,3
"371",1713,346,1367,0,217,85,298,159,84,150,140,0,50,15,70,25,31,50,55,50,0,0,0,234,0,0,0,3
"372",2599,690,1909,105,96,195,364,0,138,0,141,0,0,0,90,100,50,0,50,100,100,400,500,0,180,1128,2040,1
"373",5528.8,1450,4078.8,150,148,150.5,216.5,272,317,361,408,100,100,50,100,100,100,100,100,100,100,1000,1250,478,508,2044,2794,2
"374",6587,2242,4345,296,466,496,496,316,328,340,384,306,390,466,208,80,167,155,111,115,125,476,0,384,413,1704,0,2
"375",6578,2857,3721,246,296,295,350,316,328,446,396,138,188,115,166,120,100,125,275,100,30,6000,0,400,400,400,740,2
"379",2685,99,2586,208,254,192,207,228,248,256,183,0,0,0,15,20,25,39,0,0,0,0,0,80,96,880,2070,1
"380",1494,50,1444,686,0,0,33,0,317,84,0,0,50,0,0,0,0,0,0,0,0,0,0,0,224,0,500,3
"381",4071.33,3725,346.33,0,88.33,66,0,0,0,0,52,0,0,100,100,125,150,200,250,300,500,4000,5000,56,0,336,0,2
"382",951,275,676,200,220,256,0,0,0,0,0,50,50,50,50,50,25,0,0,0,0,0,0,0,0,0,0,3
"383",1950.33,550,1400.33,264,150,165,169.33,0,138,350,0,300,100,100,0,0,0,0,0,0,50,0,0,74,90,0,0,3
"384",707,25,682,240,128,82,0,0,0,0,232,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"385",110.56,50,60.56,0,0,60.56,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"388",1214,600,614,60,60,66,150,88,90,100,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,3
"390",233,50,183,183,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"391",1911,90,1821,209,190,207,237,291,262,0,325,10,10,15,15,20,20,0,0,0,0,0,0,0,100,0,0,3
"394",1144,150,994,60,70,76,88,138,84,50,82,10,10,10,10,20,10,10,20,10,20,40,50,98,180,0,340,3
"396",2560,35,2525,0,0,156,166,168,237,316,371,0,0,0,16,0,0,19,0,0,0,0,0,365,296,360,1800,1
"397",1219.5,900,319.5,0,0,136,88,0,0,0,0,50,50,50,50,50,50,100,100,100,100,400,500,0,0,382,0,3
