Patron #,Total All Revenue,Total Donations,Total Ticket Revenue,2004 Total Cost,2005 Total Cost,2006 Total Cost,2007 Total Cost,2008 Total Cost,2009 Total Cost,2010 Total Cost,2011 Total Cost,2012 Total Cost,2013 Total Cost,2014 Total Cost,2015 Total Cost,2004 Donation,2005 Donation,2006 Donation,2007 Donation,2008 Donation,2009 Donation,2010 Donation,2011 Donation,2012 Donation,2013 Donation,2014 Donation,2015 Donation
30255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30258,58,0,58,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30260,37.67,0,37.67,0,0,0,37.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30262,813,0,813,0,74,82,119,86,0,0,0,84,180,0,188,0,0,0,0,0,0,0,0,0,0,0,0
30264,229.33,0,229.33,229.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30265,240,0,240,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30266,40,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30269,152,0,152,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30271,366,0,366,0,173,0,0,0,0,0,0,87,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0
30272,2929.33,75,2854.33,93.33,205,149,318,249,474,156,264,270,270,406,0,0,0,0,0,0,25,0,50,0,0,0,0
30273,153.33,0,153.33,153.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30280,799,0,799,0,74,0,80,75,0,0,0,0,0,104,466,0,0,0,0,0,0,0,0,0,0,0,0
30282,50,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30283,306,0,306,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30284,332,0,332,89,0,83,124,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30285,112.33,0,112.33,0,0,112.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30286,252,0,252,0,0,33,177,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30288,158.4,0,158.4,0,0,158.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30291,54,0,54,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30297,112.34,0,112.34,0,0,0,38.34,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30298,687,0,687,0,0,0,76,353,92,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0
30301,64,0,64,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30306,129,0,129,0,69,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
30308,163,0,163,76,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30311,112.33,0,112.33,0,0,112.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30314,752,0,752,0,0,210,271,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30316,168,0,168,0,0,82,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30317,48,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30320,2826,0,2826,0,0,162,240,252,272,280,280,300,340,346,354,0,0,0,0,0,0,0,0,0,0,0,0
30323,133,0,133,0,0,54,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30325,37.67,0,37.67,0,0,0,37.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30327,137,0,137,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30328,65,0,65,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30329,2620,0,2620,0,124,189,259,120,120,288,416,252,234,264,354,0,0,0,0,0,0,0,0,0,0,0,0
30333,88,0,88,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30334,89.67,0,89.67,0,0,89.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30336,144,0,144,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30337,401,0,401,0,111,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30340,60,0,60,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30344,235,0,235,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30347,1815,0,1815,117,116,128,162,217,256,96,255,194,164,0,110,0,0,0,0,0,0,0,0,0,0,0,0
30348,373,0,373,0,0,0,0,0,0,48,165,0,0,100,60,0,0,0,0,0,0,0,0,0,0,0,0
30350,111.6,0,111.6,111.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30351,134,0,134,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30359,70,20,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,20,0
30361,61.4,0,61.4,0,0,0,61.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30362,1045.4,0,1045.4,292,0,116,188.4,243,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30366,84,0,84,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30367,997,0,997,0,0,63,182,268,136,300,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30368,4308.99,2300,2008.99,239.33,0,326.66,164,542,182,461,94,0,0,0,0,200,100,125,125,150,150,200,250,250,250,250,250
30370,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30371,160,0,160,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30372,186,0,186,122,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30373,59,0,59,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30375,292,0,292,0,120,112,33,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30377,598.5,0,598.5,208,330.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30378,278,0,278,0,0,0,180,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30379,438.01,0,438.01,45.67,45.67,52.67,74,0,78,82,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
30380,109.4,0,109.4,0,0,0,61.4,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30381,1206,0,1206,0,0,0,81,110,195,174,138,164,185,0,159,0,0,0,0,0,0,0,0,0,0,0,0
30382,84,0,84,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30386,1021,0,1021,64,0,0,84,75,86,0,146,232,162,172,0,0,0,0,0,0,0,0,0,0,0,0,0
30391,178.33,0,178.33,0,73.33,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30395,117,0,117,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30396,168,0,168,0,0,0,79,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30402,139,55,84,0,0,0,0,0,0,0,0,84,0,0,0,0,25,15,15,0,0,0,0,0,0,0,0
30405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30410,60,0,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30413,56,0,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30418,146,0,146,0,56,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30422,210,0,210,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30423,60,0,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30425,90,0,90,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30427,83.67,0,83.67,0,0,0,83.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30428,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30431,82,0,82,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30432,50,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30435,141,0,141,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30437,48,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30438,493,0,493,0,0,0,26,72,104,0,0,0,0,177,114,0,0,0,0,0,0,0,0,0,0,0,0
30440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30461,39,0,39,0,18.5,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30472,29,0,29,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
30474,403,0,403,0,0,0,0,0,0,94,135,0,92,82,0,0,0,0,0,0,0,0,0,0,0,0,0
30476,88,0,88,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
30478,1335,0,1335,0,76,0,116,220,39,0,0,184,47,299,354,0,0,0,0,0,0,0,0,0,0,0,0
30491,102,0,102,0,0,0,32,0,0,36,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30493,100,0,100,0,0,0,0,0,26,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30498,101,0,101,0,64,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30500,506,50,456,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,0,50,0,0
30508,207,0,207,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30546,105.5,0,105.5,0,0,105.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30558,2100.33,0,2100.33,0,27.33,0,0,0,0,36,249,0,0,100,1688,0,0,0,0,0,0,0,0,0,0,0,0
30561,931.83,0,931.83,96.33,0,60,0,0,0,0,0,96,78,107,494.5,0,0,0,0,0,0,0,0,0,0,0,0
30563,9.8,0,9.8,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30565,71,0,71,34,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30578,420.8,0,420.8,74.8,78,50,80,0,45,48,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30583,388,0,388,147,67,33,0,41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30585,727,665,62,0,10,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,100,0,165,0,400
30586,722,299,423,169,160,0,94,0,0,0,0,0,0,0,0,0,0,0,104,0,0,30,35,30,30,35,35
30587,23678.34,0,23678.34,5625,0,5750,5088.34,40,175,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30588,2851,0,2851,0,160,184,192,290,311,352,316,248,294,252,252,0,0,0,0,0,0,0,0,0,0,0,0
30590,406,0,406,136,0,0,0,0,0,0,84,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30591,18270,16889,1381,134,500,0,0,0,0,182,0,470,0,42,53,0,0,0,0,0,0,0,0,0,14389,2500,0
30592,175.33,0,175.33,0,0,175.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30593,1480,0,1480,0,0,82,134,316,328,0,0,104,252,264,0,0,0,0,0,0,0,0,0,0,0,0,0
30601,814,0,814,0,0,0,76,86,178,188,64,0,154,0,68,0,0,0,0,0,0,0,0,0,0,0,0
30602,58,0,58,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30603,106.33,0,106.33,0,0,31.33,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30604,76,0,76,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30605,172.71,0,172.71,0,0,0,86.71,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30606,54.83,0,54.83,0,54.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30609,100.5,0,100.5,0,25,0,0,36,0,22.5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30612,46,0,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30616,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30617,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30618,20,0,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30622,93,0,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30625,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30629,42,0,42,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
30630,156,0,156,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30631,2758,1600,1158,0,0,0,306,270,196,0,206,180,0,0,0,0,0,100,250,0,250,0,300,275,250,100,75
30632,834,0,834,0,0,0,156,172,0,0,0,104,0,230,172,0,0,0,0,0,0,0,0,0,0,0,0
30633,898,0,898,0,70,0,0,0,100,0,103,261,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0
30634,89.07,0,89.07,0,27.67,0,61.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30635,662,0,662,0,0,0,330,240,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30640,168,0,168,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30651,66,0,66,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30657,1536.5,0,1536.5,0,0,0,96.5,0,0,273,446,421,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0
30659,33,0,33,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30660,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30661,36,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30662,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30665,80,0,80,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30670,28,0,28,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30671,99,0,99,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30673,3727.5,0,3727.5,496,261.5,591,645,316,316,354,400,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30674,1412,400,1012,0,0,82,0,86,0,0,0,0,340,246,258,0,0,0,0,0,0,0,100,100,100,0,100
30676,360,0,360,0,94,164,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0
30678,67,0,67,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30682,193.4,0,193.4,0,0,0,193.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30683,317,0,317,0,54,0,157,20,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0
30684,256,0,256,0,148,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30685,341,0,341,0,0,218,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30686,1598,0,1598,0,0,154,345,0,0,90,321,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30688,38.34,0,38.34,0,0,0,38.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30690,3220.5,0,3220.5,160,196,204.5,206,240,316,256,312,320,310,346,354,0,0,0,0,0,0,0,0,0,0,0,0
30691,227.33,0,227.33,0,0,0,82.33,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0
30693,226,0,226,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30694,112.33,0,112.33,0,0,0,112.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30695,265.34,0,265.34,0,0,196.09,39.25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30696,164,0,164,0,0,36,78,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30697,106,0,106,0,30,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30699,1185,0,1185,98,37,82,90,156,170,200,174,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30701,894,0,894,0,0,152,346,165,0,0,0,135,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30704,1081,0,1081,0,0,150,76,252,180,90,102,0,102,129,0,0,0,0,0,0,0,0,0,0,0,0,0
30707,88,0,88,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30713,1228,30,1198,220,240,287,295,156,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0
30715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30716,315,0,315,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30717,182.67,0,182.67,36.67,64,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30718,27,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30719,212.66,0,212.66,0,0,0,142.66,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30721,74,0,74,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30722,420,0,420,60,56,134,72,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30723,1610,0,1610,0,0,40,49,59,63,159,226,189,364,382.5,78.5,0,0,0,0,0,0,0,0,0,0,0,0
30725,22,0,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30726,478,0,478,0,0,123,42,129,0,100,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30728,7384.28,0,7384.28,485.71,645.57,734,750,836,632,826,753,783,939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30740,128,0,128,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30769,92.67,0,92.67,0,0,0,92.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30772,36.5,0,36.5,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30776,1040,0,1040,0,0,0,86,168,80,100,164,104,252,86,0,0,0,0,0,0,0,0,0,0,0,0,0
30777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30779,66,0,66,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30780,35,0,35,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30781,164,0,164,0,0,0,0,84,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30782,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30783,234,0,234,70,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30785,134,0,134,58,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30797,747,75,672,0,0,0,0,0,170,100,66,336,0,0,0,0,0,0,0,0,25,0,0,50,0,0,0
30800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30802,464,0,464,0,0,0,0,0,0,0,0,231,0,76,157,0,0,0,0,0,0,0,0,0,0,0,0
30805,76,0,76,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30806,245,225,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,75,0,0,75,0,0
30810,95,0,95,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0
30811,155.6,0,155.6,0,0,0,155.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30812,66,0,66,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30815,1508,0,1508,900,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30816,173,0,173,0,0,0,69,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30825,100,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30829,637,0,637,0,0,0,0,0,0,0,91,200,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0
30835,120,0,120,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30845,148.33,0,148.33,0,0,0,67.33,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30846,832,0,832,0,0,0,78,168,80,90,0,208,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0
30850,71,0,71,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30851,99,0,99,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30853,447,0,447,0,0,0,84,172,147,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30854,130,0,130,0,54,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30858,296,0,296,0,56,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30860,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30869,384,0,384,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30870,52,0,52,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30871,148,0,148,0,0,0,70,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30874,1224.66,0,1224.66,93.33,82.33,0,0,209,141,144,135,0,146,102,172,0,0,0,0,0,0,0,0,0,0,0,0
30876,692,0,692,0,0,82,164,86,0,100,58,104,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30878,72,0,72,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30882,60,0,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
