Patron #,Total All Revenue,Total Donations,Total Ticket Revenue,2004 Total Cost,2005 Total Cost,2006 Total Cost,2007 Total Cost,2008 Total Cost,2009 Total Cost,2010 Total Cost,2011 Total Cost,2012 Total Cost,2013 Total Cost,2014 Total Cost,2015 Total Cost,2004 Donation,2005 Donation,2006 Donation,2007 Donation,2008 Donation,2009 Donation,2010 Donation,2011 Donation,2012 Donation,2013 Donation,2014 Donation,2015 Donation
635,761,0,761,0,70,0,0,0,95,100,76,92,90,84,154,0,0,0,0,0,0,0,0,0,0,0,0
643,799,375,424,274,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,100,50,0,50,25
649,1545,0,1545,155,626,172,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,214,0,214,74,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666,70,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,1021,105,916,0,0,0,330,316,0,0,0,270,0,0,0,0,0,0,50,30,0,0,0,25,0,0,0
679,4038.5,3050,988.5,0,0,90,0,0,132,244,38,156,52.5,60,216,250,0,250,250,300,500,500,500,500,0,0,0
703,2960.5,655,2305.5,496,32,218.5,74,59,149,100,276,0,291,316,294,50,50,50,50,50,50,50,50,50,50,50,105
704,3408,425,2983,0,166,225,246,312,296,396,264,232,270,282,294,0,26,15,55,25,25,50,31,108,30,30,30
705,48,0,48,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
715,2456,173,2283,158,196,241,249,185,180,244,212,192,228,198,0,50,50,15,15,28,15,0,0,0,0,0,0
729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,1145.67,0,1145.67,104,0,174.67,417,299,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,568,0,568,0,0,0,0,398,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751,50,12,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
761,2684,266,2418,218,196,327,315,354,328,340,340,0,0,0,0,30,16,35,25,25,35,50,25,25,0,0,0
788,48,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,2233,560,1673,230,176,184,239,252,272,0,0,320,0,0,0,50,0,25,65,95,125,0,0,200,0,0,0
812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813,107.5,0,107.5,0,18.5,40.5,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817,24.5,0,24.5,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823,4396,1200,3196,406,230,560,290,321,333,332,234,86,140,154,110,0,300,100,100,100,0,100,100,100,100,100,100
829,288,0,288,118,64,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836,15000,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,5000
842,5650,5400,250,250,0,0,0,0,0,0,0,0,0,0,0,0,400,5000,0,0,0,0,0,0,0,0,0
846,928,400,528,0,12,0,110,123,0,0,100,183,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0
873,486,0,486,0,0,0,0,0,37,141,60,164,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0
886,9909.93,1315,8594.93,720,557.6,675,702.33,632,656,680,800,800,736,810,826,100,100,115,100,100,100,200,0,100,100,200,100
889,200,0,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,328,0,328,0,0,0,0,0,90,144,0,0,40,0,54,0,0,0,0,0,0,0,0,0,0,0,0
904,42657.5,33798,8859.5,303,477.5,394,668,680,708,904,874,1124,886,752,1089,3500,3250,0,0,20,3,25,0,2000,9000,8000,8000
907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
921,1314.68,0,1314.68,123,288.68,260,148,76,322,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,68,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,380,0,380,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0
1038,242,0,242,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,270,0,270,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,833,75,758,52,0,108,598,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,25,0,0
1054,437,0,437,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1059,6629,0,6629,0,35,0,2116,1468.5,742.5,577.5,473,0,432,417,367.5,0,0,0,0,0,0,0,0,0,0,0,0
1060,4714,0,4714,0,0,1203,1550,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066,4715.16,0,4715.16,520,0,638,885,392,344,456,168,401,354,273.16,284,0,0,0,0,0,0,0,0,0,0,0,0
1068,2326,0,2326,0,189,288,209,171,0,230,224,141,390,242,242,0,0,0,0,0,0,0,0,0,0,0,0
1074,343.78,0,343.78,0,0,343.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,435,0,435,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
